State,Data_Points,Trend_Direction,Trend_Strength,Slope,R²_Linear,R²_Quadratic,R²_Cubic,Best_Fit,Best_R²,Growth_Rate_%,Daily_Change,Volatility,Mean_Population,Peak,Trough
Andaman and Nicobar Islands,102,Decreasing,Weak,-0.0007463910297368974,0.004078493841062292,0.006084072612958624,0.100478188585859,cubic,0.100478188585859,-50.0,-0.00980392156862745,0.18473609236614996,1.8627450980392157,2.0,1.0
Andhra Pradesh,107,Decreasing,Weak,-0.021503164246948408,0.019513398312532515,0.06346496709247074,0.11899050119999055,cubic,0.11899050119999055,0.0,0.0,2.059666613007438,2.308411214953271,51.0,1.0
Arunachal Pradesh,105,Decreasing,Weak,-0.0012751399543852366,0.0017624606711134083,0.00539985217877903,0.007344860003278719,cubic,0.007344860003278719,0.0,0.0,0.4581249658234908,2.0095238095238095,7.0,1.0
Assam,108,Decreasing,Weak,-0.09703525870035337,0.04454158563496513,0.10133791527642644,0.16312716050177667,cubic,0.16312716050177667,50.0,0.009259259259259259,3.2728331158349415,4.37962962962963,136.0,1.0
Bihar,111,Decreasing,Weak,-0.21769041769041772,0.1221422096731195,0.24689503731373308,0.3556416129450899,cubic,0.3556416129450899,450.0,0.08108108108108109,2.514596042112462,7.936936936936937,146.0,1.0
Chandigarh,105,Increasing,Weak,0.0028923906282396854,0.0018358665219543324,0.003252699383829216,0.014353595492056948,cubic,0.014353595492056948,-50.0,-0.009523809523809525,0.8458063790116871,2.419047619047619,18.0,1.0
Chhattisgarh,107,Decreasing,Weak,-0.043594114304747335,0.01941509439060507,0.053687278197628197,0.0838395217827912,cubic,0.0838395217827912,600.0,0.11214953271028037,2.8328475661572625,3.411214953271028,100.0,1.0
Dadra and Nagar Haveli and Daman and Diu,104,Increasing,Weak,0.00018670649738610837,2.903578785218297e-05,0.00010361755883103729,0.011597986496015622,cubic,0.011597986496015622,100.0,0.019230769230769232,0.5031646738604493,2.0673076923076925,11.0,1.0
Delhi,108,Decreasing,Weak,-0.05670353539683899,0.04647045750165013,0.07396574288329505,0.12300101352570392,cubic,0.12300101352570392,200.0,0.037037037037037035,1.800092535132199,4.555555555555555,60.0,1.0
Goa,104,Increasing,Weak,0.0031420036274405205,0.050782737256595434,0.12713578141172222,0.15132067818786055,cubic,0.15132067818786055,50.0,0.009615384615384616,0.22791412418511955,1.8365384615384615,3.0,1.0
Gujarat,108,Decreasing,Weak,-0.0630388598321377,0.05663426408507288,0.13502678255472678,0.22139045926898648,cubic,0.22139045926898648,0.0,0.0,2.491288150845159,3.314814814814815,63.0,1.0
Haryana,107,Decreasing,Weak,-0.09448656909422204,0.036332092079490175,0.06822154629190724,0.09579251507240649,cubic,0.09579251507240649,-50.0,-0.009345794392523364,3.584814119511598,4.271028037383178,150.0,1.0
Himachal Pradesh,105,Increasing,Weak,0.00014513788098693755,9.850077795514611e-05,9.938723735058996e-05,0.007551447646660825,cubic,0.007551447646660825,-50.0,-0.009523809523809525,0.23505204602464844,1.8857142857142857,4.0,1.0
Jammu and Kashmir,106,Decreasing,Weak,-0.106199460916442,0.02583166513488222,0.06222452387217503,0.10865524493711443,cubic,0.10865524493711443,0.0,0.0,4.751944392712121,4.254716981132075,211.0,1.0
Jharkhand,107,Decreasing,Weak,-0.005505593761633254,0.0006854719914481944,0.05021647912622862,0.0517484396025113,cubic,0.0517484396025113,1800.0,0.3364485981308411,1.9467001173100007,3.336448598130841,55.0,1.0
Karnataka,108,Decreasing,Weak,-0.060142711518858284,0.03841757946155555,0.10788271854654108,0.18851019740274233,cubic,0.18851019740274233,-50.0,-0.009259259259259259,2.733156346241604,3.5,86.0,1.0
Kerala,106,Increasing,Weak,0.0013653424692042218,0.0065433479763696845,0.008397946404176793,0.08940858194365298,cubic,0.08940858194365298,-50.0,-0.009433962264150943,0.280742886013764,1.8396226415094339,4.0,1.0
Ladakh,101,Increasing,Weak,0.0005940594059405942,0.002266666666666417,0.006037127157096367,0.0790172063836635,cubic,0.0790172063836635,-50.0,-0.009900990099009901,0.18939353681313228,1.9207920792079207,3.0,1.0
Lakshadweep,97,Increasing,Weak,0.0006048811277088157,0.0015475800411909324,0.0041861316209028665,0.04362817896950144,cubic,0.04362817896950144,-50.0,-0.010309278350515464,0.23200681130912335,1.8556701030927836,3.0,1.0
Madhya Pradesh,110,Decreasing,Weak,-0.11977999684421703,0.0555178704325876,0.16293337015430254,0.2684726801222994,cubic,0.2684726801222994,100.0,0.01818181818181818,2.577065615464718,6.263636363636364,116.0,1.0
Maharashtra,110,Decreasing,Weak,-0.19670896918603342,0.08409604061833864,0.1811302538661249,0.2745208507704672,cubic,0.2745208507704672,0.0,0.0,3.5100185829529313,6.136363636363637,190.0,1.0
Manipur,106,Decreasing,Weak,-0.026389903519157626,0.04108276140352296,0.0576174602716949,0.06417506911144033,cubic,0.06417506911144033,0.0,0.0,1.4765349670179972,2.69811320754717,37.0,1.0
Meghalaya,113,Decreasing,Weak,-1.5091240268813626,0.029702105129449485,0.06484199551498904,0.07382845257966564,cubic,0.07382845257966564,100.0,0.017699115044247787,6.8454007567413715,41.72566371681416,3027.0,1.0
Mizoram,105,Increasing,Weak,0.0004872486004561478,0.00010632171220625874,0.0032793458933363384,0.0032943297579149933,cubic,0.0032943297579149933,-50.0,-0.009523809523809525,0.6743774420486983,2.123809523809524,15.0,1.0
Nagaland,106,Decreasing,Weak,-0.01118472428647001,0.020677434786406157,0.023322670517316735,0.025249393400324394,cubic,0.025249393400324394,-50.0,-0.009433962264150943,0.9628916979010859,2.4716981132075473,18.0,1.0
Odisha,106,Decreasing,Weak,-0.002478776733758218,0.004039786381842214,0.013597162384603845,0.013803005794106316,cubic,0.013803005794106316,50.0,0.009433962264150943,0.5499613322031963,2.169811320754717,11.0,1.0
Puducherry,105,Increasing,Weak,0.0026539498237611444,0.017001470748975178,0.062401053641829685,0.07420496672933752,cubic,0.07420496672933752,0.0,0.0,0.31142566809041633,1.980952380952381,6.0,1.0
Punjab,108,Decreasing,Weak,-0.08636047519696667,0.041731473210149916,0.0987222480382739,0.15546892808999468,cubic,0.15546892808999468,0.0,0.0,3.3570327554738455,3.925925925925926,131.0,1.0
Rajasthan,107,Decreasing,Weak,-0.05437998393385449,0.03290254150833127,0.063532844674137,0.08616800959407545,cubic,0.08616800959407545,150.0,0.028037383177570093,2.6850720940641506,3.4485981308411215,94.0,1.0
Sikkim,103,Decreasing,Weak,-6.589641084215586e-05,2.9595917078850675e-05,0.004148191273179558,0.08659701057835612,cubic,0.08659701057835612,-50.0,-0.009708737864077669,0.1921993470569058,1.8737864077669903,3.0,1.0
Tamil Nadu,107,Decreasing,Weak,-0.013117420012147572,0.01221926684221697,0.036704766171161696,0.06583616958076233,cubic,0.06583616958076233,350.0,0.06542056074766354,1.2733069180971817,2.878504672897196,34.0,1.0
Telangana,106,Decreasing,Weak,-0.0008615260599037709,0.0009832528246955796,0.03717226588931111,0.05083899990183005,cubic,0.05083899990183005,200.0,0.03773584905660377,0.41447576146445037,2.0283018867924527,6.0,1.0
Tripura,106,Increasing,Weak,0.002252059349573016,0.0010487594215151663,0.0875949967968006,0.1007739967212673,cubic,0.1007739967212673,0.0,0.0,0.9281911021326774,2.292452830188679,20.0,1.0
Uttar Pradesh,111,Decreasing,Weak,-0.27507020007020017,0.12088537880809824,0.26383450411511256,0.39519958001309397,cubic,0.39519958001309397,100.0,0.018018018018018018,3.012641739851422,8.414414414414415,156.0,1.0
Uttarakhand,108,Decreasing,Weak,-0.060466622843369816,0.04433706737371368,0.1253658722063461,0.20220895604438993,cubic,0.20220895604438993,-50.0,-0.009259259259259259,2.685764943797824,3.3333333333333335,75.0,1.0
West Bengal,107,Decreasing,Weak,-0.03338623405630987,0.03854004079254236,0.06369155022543538,0.10202125022928943,cubic,0.10202125022928943,-50.0,-0.009345794392523364,1.867251504996552,2.8130841121495327,50.0,1.0
